59 18
kx ky kz seg idx distance label
 0.0000000000  0.0000000000  0.0000000000    0    0  0.00000000 GAMMA
 0.0237526316  0.0411263158  0.0000000000    0    1  0.04749275
 0.0475052632  0.0822526316  0.0000000000    0    2  0.09498550
 0.0712578947  0.1233789474  0.0000000000    0    3  0.14247825
 0.0950105263  0.1645052632  0.0000000000    0    4  0.18997100
 0.1187631579  0.2056315789  0.0000000000    0    5  0.23746375
 0.1425157895  0.2467578947  0.0000000000    0    6  0.28495650
 0.1662684211  0.2878842105  0.0000000000    0    7  0.33244925
 0.1900210526  0.3290105263  0.0000000000    0    8  0.37994200
 0.2137736842  0.3701368421  0.0000000000    0    9  0.42743476
 0.2375263158  0.4112631579  0.0000000000    0   10  0.47492751
 0.2612789474  0.4523894737  0.0000000000    0   11  0.52242026
 0.2850315789  0.4935157895  0.0000000000    0   12  0.56991301
 0.3087842105  0.5346421053  0.0000000000    0   13  0.61740576
 0.3325368421  0.5757684211  0.0000000000    0   14  0.66489851
 0.3562894737  0.6168947368  0.0000000000    0   15  0.71239126
 0.3800421053  0.6580210526  0.0000000000    0   16  0.75988401
 0.4037947368  0.6991473684  0.0000000000    0   17  0.80737676
 0.4275473684  0.7402736842  0.0000000000    0   18  0.85486951
 0.4513000000  0.7814000000  0.0000000000    0   19  0.90236226 K
 0.4631684211  0.7593578947  0.0000000000    1    1  0.93474508
 0.4750368421  0.7373157895  0.0000000000    1    2  0.96712791
 0.4869052632  0.7152736842  0.0000000000    1    3  0.99951073
 0.4987736842  0.6932315789  0.0000000000    1    4  1.03189356
 0.5106421053  0.6711894737  0.0000000000    1    5  1.06427638
 0.5225105263  0.6491473684  0.0000000000    1    6  1.09665921
 0.5343789474  0.6271052632  0.0000000000    1    7  1.12904203
 0.5462473684  0.6050631579  0.0000000000    1    8  1.16142486
 0.5581157895  0.5830210526  0.0000000000    1    9  1.19380768
 0.5699842105  0.5609789474  0.0000000000    1   10  1.22619051
 0.5818526316  0.5389368421  0.0000000000    1   11  1.25857333
 0.5937210526  0.5168947368  0.0000000000    1   12  1.29095616
 0.6055894737  0.4948526316  0.0000000000    1   13  1.32333898
 0.6174578947  0.4728105263  0.0000000000    1   14  1.35572181
 0.6293263158  0.4507684211  0.0000000000    1   15  1.38810463
 0.6411947368  0.4287263158  0.0000000000    1   16  1.42048746
 0.6530631579  0.4066842105  0.0000000000    1   17  1.45287028
 0.6649315789  0.3846421053  0.0000000000    1   18  1.48525311
 0.6769000000  0.3904000000  0.0000000000    1   19  1.51763593 M
 0.6425710526  0.3712094737  0.0000000000    2    1  1.56087065
 0.6082421053  0.3520189474  0.0000000000    2    2  1.60410536
 0.5739131579  0.3328284211  0.0000000000    2    3  1.64734008
 0.5395842105  0.3136378947  0.0000000000    2    4  1.69057479
 0.5052552632  0.2944473684  0.0000000000    2    5  1.73380951
 0.4709263158  0.2752568421  0.0000000000    2    6  1.77704422
 0.4365973684  0.2560663158  0.0000000000    2    7  1.82027894
 0.4022684211  0.2368757895  0.0000000000    2    8  1.86351365
 0.3679394737  0.2176852632  0.0000000000    2    9  1.90674837
 0.3336105263  0.1984947368  0.0000000000    2   10  1.94998308
 0.2992815789  0.1793042105  0.0000000000    2   11  1.99321780
 0.2649526316  0.1601136842  0.0000000000    2   12  2.03645251
 0.2306236842  0.1409231579  0.0000000000    2   13  2.07968723
 0.1962947368  0.1217326316  0.0000000000    2   14  2.12292194
 0.1619657895  0.1025421053  0.0000000000    2   15  2.16615666
 0.1276368421  0.0833515789  0.0000000000    2   16  2.20939137
 0.0933078947  0.0641610526  0.0000000000    2   17  2.25262609
 0.0589789474  0.0449705263  0.0000000000    2   18  2.29586080
 0.0246500000  0.0257800000  0.0000000000    2   19  2.33909552
 0.0000000000  0.0000000000  0.0000000000    2   20  2.38233023 GAMMA
