27 14 ! Total number of k-points from Γ to X, Δk = 0.02 Bohr⁻¹
# 27 kx (1/Bohr)   ky     kz     # k-path from Γ (0) to X (π/a ≈ 0.5100) for LiF (a = 6.16 Bohr)
  0.0000        0.0    0.0
  0.0200        0.0    0.0
  0.0400        0.0    0.0
  0.0600        0.0    0.0
  0.0800        0.0    0.0
  0.1000        0.0    0.0
  0.1200        0.0    0.0
  0.1400        0.0    0.0
  0.1600        0.0    0.0
  0.1800        0.0    0.0
  0.2000        0.0    0.0
  0.2200        0.0    0.0
  0.2400        0.0    0.0
  0.2600        0.0    0.0
  0.2800        0.0    0.0
  0.3000        0.0    0.0
  0.3200        0.0    0.0
  0.3400        0.0    0.0
  0.3600        0.0    0.0
  0.3800        0.0    0.0
  0.4000        0.0    0.0
  0.4200        0.0    0.0
  0.4400        0.0    0.0
  0.4600        0.0    0.0
  0.4800        0.0    0.0
  0.5000        0.0    0.0
  0.5100        0.0    0.0  # ≈ π/a
